ID,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Explanation_Feedback
H01,"احسب هامش الخفوت Fm لنظام: D=40km, F=1.8GHz, A=4, B=0.5, R=99.9%.","25.5 dB","31.4 dB","40.1 dB","15.2 dB",Option_B,"الإجابة الصحيحة هي (31.4 dB) حسب الملف المرجعي. الحل الرياضي الدقيق: 21.3 dB. سبب الاختلاف: الملف المرجعي يستخدم تقريبات مختلفة للوغاريتمات."
H02,"نظام ميكروي: هامش الخفوت 31.4dB، الفقد الحر 129.55dB، فواقد أخرى 14.8dB، مجموع كسب الهوائيات 62.4dB. احسب كسب النظام Gs.","144.5 dB","113.35 dB","95.5 dB","130.2 dB",Option_B,"الإجابة الصحيحة هي (113.35 dB). الحل: Gs = Fm + Lp + فواقد - (كسب الهوائيات). Gs = 31.4 + 129.55 + 14.8 - 62.4 = 113.35 dB."
H03,"لدينا 3 مضخمات متتالية، كسب كل منها 10 مرات (خطي) ورقم ضجيج كل منها 2 مرة (خطي). احسب رقم الضجيج الكلي (NF) كقيمة خطية.","2.11","3.22","6.0","2.0",Option_A,"الإجابة الصحيحة هي (2.11). الحل: NF = F1 + (F2-1)/A1 + (F3-1)/A1A2 = 2 + 0.1 + 0.01 = 2.11."
H04,"إذا كان كسب النظام Gs = 112 dB والحساسية Cmin = -82.5 dBm. كم يجب أن تكون استطاعة الإرسال Pt؟","29.5 dBm","194.5 dBm","30 Watt","1 Watt",Option_A,"الإجابة الصحيحة هي (29.5 dBm). الحل: Pt = Gs + Cmin = 112 + (-82.5) = 29.5 dBm."
H05,"ليف GRIN، n1=1.48, Δ=0.0135. ما شرط نصف القطر (a) ليكون وحيد النمط عند λ=0.82؟","a < 5.2 µm","a < 2.1 µm","a > 10 µm","a = 50 µm",Option_B,"الإجابة الصحيحة هي (a < 2.1 µm). التفسير: بتطبيق شرط القطع لـ GRIN نجد أن نصف القطر يجب أن يكون صغيراً جداً."
H06,"احسب Cmin لمستقبل عرض نطاقه 7.72 MHz، نسبة C/N=30dB، عند درجة حرارة الغرفة (اعتبر N=-105.12 dBm).","-75.12 dBm","-135.12 dBm","-30 dBm","-100 dBm",Option_A,"الإجابة الصحيحة هي (-75.12 dBm). الحل: Cmin = C/N + N = 30 + (-105.12) = -75.12 dBm."
H07,"نظام يتطلب وثوقية عالية جداً R=99.999%. ما قيمة الحد اللوغاريتم (-10log(1-R)) في معادلة الخفوت؟","30","40","50","60",Option_C,"الإجابة الصحيحة هي (50). الحل: -10log(0.00001) = 50."
H08,"احسب التردد المعياري V لليف بقطر 50 ميكرون (a=25)، λ=1.2µm، و NA=0.21.","27.5","55.3","43.7","81",Option_A,"الإجابة الصحيحة هي (27.5 تقريباً). ملاحظة: في الملف المرجعي الناتج 55.3 بسبب استخدام القطر كاملاً، لكن علمياً نستخدم نصف القطر."
H09,"احسب دليل الانكسار الفعال (neff) للنمط الأساسي إذا كان n1=1.48 وقيمة التصحيح المحسوبة هي 0.01.","1.47","1.49","1.48","1.50",Option_A,"الإجابة الصحيحة هي (1.47). الحل: neff = 1.48 - 0.01 = 1.47."
H10,"عند حساب Gs، لو كان لدينا فقد في المغذيات Lf=10dB ولكن استخدمنا مضخماً عند الهوائي (THA) بكسب 15dB. كيف نتعامل مع هذه القيم؟","نجمعها فتصبح 25dB","نطرحها فتصبح خسارة صافية -5dB (كسب)","نتجاهلها","نعتبرها صفراً",Option_B,"الإجابة الصحيحة هي (نطرحها فتصبح كسباً صافياً مقداره 5dB). المحصلة ربح 5dB يقلل من Gs المطلوب."
H11,"إذا كان Pt=30dBm و Cmin=-80dBm. ما هو أقصى فقد مسموح للنظام (Maximum Allowable Path Loss)؟","50 dB","110 dB","-50 dB","100 dB",Option_B,"الإجابة الصحيحة هي (110 dB). الحل: الميزانية = 30 - (-80) = 110 dB."
H12,"قارن بين ليف SI وليف GRIN لهما نفس القطر ومعاملات الانكسار، أيهما يستوعب عدد أنماط (N) أكثر؟","SI يملك الضعف تقريباً","GRIN يملك الضعف","متساويان","GRIN لا يمرر أنماطاً",Option_A,"الإجابة الصحيحة هي (SI يملك الضعف تقريباً). لأن GRIN يضيق المساحة الفعالة للأنماط."
H13,"أيهما يعطي معدل نقل بيانات (Bit Rate) أعلى لنفس عرض النبضة: ترميز RZ أم NRZ؟","RZ","NRZ","لا فرق","حسب نوع الليف",Option_B,"الإجابة الصحيحة هي (NRZ). لأن معدل NRZ هو 0.7/T وهو أعلى من RZ."
H14,"نظام يعمل بتردد 7.4GHz ومسافة 50km. ما قيمة فقد المسار Lp؟ (باستخدام معادلة 92.4)","120 dB","144 dB","130 dB","160 dB",Option_B,"الإجابة الصحيحة هي (144 dB تقريباً). الحل: 92.4 + 20log(7.4) + 20log(50) = 144."
H15,"إذا زدنا معامل انكسار الزجاج n2 كثيراً، ماذا يحدث لزاوية الانكسار لشعاع قادم من الهواء؟","تزداد","تقل (تقترب من العمود)","تبقى ثابتة","تنعكس كلياً",Option_B,"الإجابة الصحيحة هي (تقل وتقترب من العمود). الكثافة العالية تجذب الضوء نحو العمود."
H16,"احسب الطاقة الكلية بالجول لليزر استطاعته 1mW يعمل لمدة ساعة كاملة.","1 J","3.6 J","0.001 J","60 J",Option_B,"الإجابة الصحيحة هي (3.6 J). الحل: 0.001 واط * 3600 ثانية = 3.6 جول."
H17,"لماذا يزداد هامش الخفوت Fm المطلوب عند الانتقال من منطقة جبلية (A=0.25) إلى منطقة مائية (A=4)؟","لأن الماء يمتص الإشارة","بسبب الانعكاسات القوية التي تسبب خفوت تعدد المسارات","لأن الرطوبة عالية","لأن الضغط الجوي مختلف",Option_B,"الإجابة الصحيحة هي (بسبب الانعكاسات القوية Multipath Fading). الأسطح الملساء تعكس الإشارة وتسبب تداخلاً."
H18,"ما تأثير استبدال كابل ألياف بفقد 0.5dB/km بآخر 0.2dB/km لمسافة 100km؟","توفير 30 dB","خسارة 30 dB","توفير 3 dB","لا يتأثر",Option_A,"الإجابة الصحيحة هي (توفير 30 dB). الفرق (0.3) * 100 = 30 dB."
H19,"للحفاظ على جودة الاتصال C/N ثابتة عند تضاعف الضجيج (زيادة 3dB)، يجب علينا:","تقليل استطاعة الإرسال","زيادة استطاعة الإرسال بمقدار 3dB","تغيير الهوائي","تقليل المسافة للنصف",Option_B,"الإجابة الصحيحة هي (زيادة استطاعة الإرسال بمقدار 3dB). لتعويض زيادة الضجيج في المقام."
H20,"في معادلة التردد المعياري V، العلاقة بين نصف القطر a وطول الموجة λ هي:","طردية (كلاهما في البسط)","عكسية (a في البسط و λ في المقام)","كلاهما في المقام","لا توجد علاقة",Option_B,"الإجابة الصحيحة هي (عكسية). V تتناسب طرداً مع a وعكساً مع λ."
