ID,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Explanation_Feedback
M01,إذا كانت استطاعة الدخل 100mW واستطاعة الخرج 50mW، كم تبلغ الخسارة بالديسبل؟,-10 dB,-3 dB,-6 dB,-20 dB,Option_B,"الإجابة الصحيحة هي (-3 dB).
الحل: Loss = 10 log(50/100) = 10 log(0.5) = -3 dB.
خطأ شائع: اختيار -6 dB يحدث عند انخفاض الجهد للنصف، أما في الاستطاعة فالنصف يعادل -3 dB."
M02,ليف بصري معامل انكسار قلبه 1.5 وغلافه 1.485. احسب فتحة النفوذ العددية (NA).,0.045,0.21,0.15,1.49,Option_B,"الإجابة الصحيحة هي (0.21).
الحل: NA = √(n1² - n2²) = √(1.5² - 1.485²) ≈ 0.21.
خطأ شائع: طرح المعاملات مباشرة (n1-n2) يعطي نتيجة خاطئة."
M03,شعاع ضوئي طول موجته 0.8 ميكرومتر. احسب تردده (بفرض c=3x10^8 m/s).,3.75 x 10^14 Hz,2.4 x 10^8 Hz,375 MHz,4 x 10^14 Hz,Option_A,"الإجابة الصحيحة هي (3.75 x 10^14 Hz).
الحل: f = c/λ = 3x10^8 / (0.8x10^-6) = 3.75x10^14.
تنبيه: يجب تحويل الميكرومتر إلى متر (ضرب بـ 10^-6) قبل القسمة."
M04,لدينا ثلاث مراحل خساراتها المتتالية: -3dB; -6dB; -11dB. ما هي الخسارة الكلية؟,-20 dB,-9 dB,-18 dB,-6 dB,Option_A,"الحل: في الديسبل، الخسارات تجمع جمعاً جبرياً: -3 + -6 + -11 = -20 dB.
خطأ شائع: ضرب القيم ببعضها خطأ، الديسبل يجمع."
M05,احسب استطاعة الضجيج الحراري (N) لعرض نطاق 10MHz عند درجة حرارة الغرفة (استخدم القانون المختصر -174).,-174 dBm,-104 dBm,-114 dBm,-94 dBm,Option_B,"الإجابة الصحيحة هي (-104 dBm).
الحل: N = -174 + 10log(10x10^6) = -174 + 70 = -104 dBm.
تنبيه: يجب تحويل 10MHz إلى Hz (10^7) قبل أخذ اللوغاريتم."
M06,إذا كانت كفاءة نظام ما 0.5% (أي 0.005). كم تبلغ خسارته بالديسبل؟,-5 dB,-13 dB,-23 dB,-50 dB,Option_C,"الإجابة الصحيحة هي (-23 dB).
الحل: Loss = 10 log(0.005) ≈ -23 dB.
تفسير: النسبة المئوية القليلة جداً تعني خسارة كبيرة بالديسبل."
M07,ليف بصري تردده المعياري V=46.45. كم عدد الأنماط (N) تقريباً (Step Index)؟,1078,2150,500,46,Option_A,"الإجابة الصحيحة هي (1078).
الحل: N ≈ 0.5 * V² = 0.5 * (46.45)² ≈ 1078.
خطأ شائع: نسيان الضرب بـ 0.5 (الذي يعطي 2150)."
M08,في معادلة فقد المسار، إذا تضاعفت المسافة D، كيف يتأثر الفقد Lp (dB)؟,يزداد بمقدار 3 dB,يزداد بمقدار 6 dB,يزداد بمقدار 20 dB,يتضاعف الرقم,Option_B,"الإجابة الصحيحة هي (يزداد بمقدار 6 dB).
التفسير: العلاقة هي 20log(D). عند مضاعفة المسافة (2D)، يزداد اللوغاريتم بمقدار log(2) مضروباً بـ 20، أي 20*0.3 = 6 dB."
M09,احسب الفقد في كابل طوله 200 متر إذا كان الفقد النوعي للكابل 5.4 dB/100m.,5.4 dB,2.7 dB,10.8 dB,20 dB,Option_C,"الإجابة الصحيحة هي (10.8 dB).
الحل: الفقد = (الطول / 100) * الفقد النوعي = (200/100) * 5.4 = 2 * 5.4 = 10.8 dB."
M10,ما هو الفرق في نصف قطر النواة بين ليف GRIN وليف SI لتحقيق نفس شروط القطع؟,متساويان,GRIN يحتاج نصف قطر أكبر بـ 1.4 مرة,SI يحتاج نصف قطر أكبر,GRIN أصغر بمرتين,Option_B,"الإجابة الصحيحة هي (GRIN يحتاج نصف قطر أكبر بحوالي 1.4 مرة).
التفسير: لأن تركيز الضوء في GRIN في المنتصف، نحتاج لمساحة أكبر قليلاً (جذر 2) لتحقيق نفس خصائص النمط الوحيد."
