ID,Phrase_Text
T01,دخيلو يلي عم يركز..
T02,شو شكلك حتفرش؟
T03,عم شغل التوربينات لأفهم شو اخترت..
T04,اي هات الآلة الحاسبة لقلك..
T05,يا رب تكون دارس مو جاي تجرب حظك..
T06,استنى شوي عم احسب اللوغاريتم..
T07,شكلك علقت يا وحش!
T08,هي بدها صفنة.. خذ وقتك.
T09,لا تطلع عالملخص.. عم شوفك!
T10,عم شم ريحة جواب صح.. ولا غلط؟
T11,جاري الاتصال بالقمر الصناعي..
T12,شكلك نسيت تراجع المحاضرة مبارح..
T13,السؤال هاد بدو كاسة متة/قهوة جنبو..
T14,ركز منيح.. السؤال فيه نكشة.
T15,يا عيني عالثقة.. لنشوف آخرتها.
T16,عم دورلك عالقانون بملفات مخي..
T17,انتبه.. الغلطة هون بتكلف علامات.
T18,شكلو السؤال ضرب معاك فيوزات..
T19,يلا هانت.. ما ضل شي.
T20,عم حلل إجابتك بالذكاء الاصطناعي الخارق..
T21,حاسس فيك عم تحاول تتذكر القانون..
T22,يا ترى A ولا B؟ حيرة والله..
T23,جاري طبخ النتيجة على نار هادية..
T24,شكلك رح تجيب العيد.. ولا لأ؟
T25,لا تتهور.. فكر منيح قبل ما تندم.
T26,عم حاول استوعب خيارك العجيب..
T27,هات لنشوف قديش الـ IQ شغال اليوم..
T28,جاري التأكد من ميزانية الوصلة تبع مخك..
T29,عم قيس نسبة التشويش (Noise) بجوابك..
T30,لحظة بس لأعمل Run للكود تبعي..
