question,option_a,option_b,option_c,option_d,correct_answer,correct_explanation,concept_explanation,explanation_a,explanation_b,explanation_c,explanation_d
"ما هي الوظيفة الأساسية لمستوى التوجيه (Level-1) في بروتوكول IS-IS؟","الربط بين المناطق المختلفة.","توجيه الحزم داخل المنطقة الواحدة فقط ولا يرى غيرها.","تشكيل العمود الفقري للشبكة.","العمل كجسر بين المناطق والإنترنت.","B","لأن Level-1 مخصص للتوجيه الداخلي ولا يمتلك معلومات عن خارج المنطقة.","Level-1 هو مستوى التوجيه الداخلي للمنطقة ولا يرى خارجها.","هذه وظيفة المستوى 2 (Level-2).","","هذه وظيفة المستوى 2 (Level-2).","هذه الوظيفة تتطلب عادة موجه حدودي يربط بين البروتوكولات (ASBR) أو المستويات.",""
"أي من المستويات التالية يقوم بتشكيل العمود الفقري (Backbone) للشبكة في IS-IS؟","Level-1","Level-2","Level-0","Level-3","B","وظيفة Level-2 هي نقل التوجيه بين المناطق وتشكيل العمود الفقري.","Level-2 هو المسؤول عن الربط بين المناطق ويعمل كالعمود الفقري.","هذا المستوى مخصص للتوجيه الداخلي ضمن المنطقة الواحدة فقط.","","هذا المصطلح يستخدم في بروتوكول ES-IS للربط بين الأجهزة النهائية والموجهات وليس للعمود الفقري.","لا يوجد مستوى توجيه يسمى Level-3 في معيار IS-IS التقليدي.",""
"ماذا يميز الموجه من نوع (Level 1-2) عن غيره في بروتوكول IS-IS؟","يحتوي على قاعدة بيانات واحدة فقط للمستوى 2.","يعمل فقط داخل المنطقة ولا يتصل بغيرها.","يحتوي على قاعدتي بيانات (واحدة للمستوى 1 وأخرى للمستوى 2).","لا يدعم بروتوكول IP.","C","لأنه يعمل كوسيط (Border Router) فيحتاج لامتلاك معلومات المنطقة (L1) ومعلومات الربط (L2).","موجه Level 1-2 يمتلك قاعدتي بيانات لربط المنطقة بالعمود الفقري.","هذه خصائص موجه Level-2 فقط (Backbone Router).","هذه خصائص موجه Level-1 فقط (Internal Router).","","بروتوكول IS-IS يدعم IP بشكل كامل (Integrated IS-IS).",""
"عند المقارنة بين OSPF و IS-IS من ناحية قواعد البيانات، ما هو الفارق الجوهري؟","راوتر OSPF داخل المنطقة لديه قاعدتا بيانات.","راوتر IS-IS (Level 1-2) لديه قاعدة بيانات واحدة.","راوتر OSPF داخل المنطقة لديه قاعدة بيانات واحدة، بينما راوتر IS-IS (Level 1-2) لديه قاعدتان.","كلا البروتوكولين يستخدم نفس عدد قواعد البيانات دائماً.","C","هذه هي المقارنة الجوهرية المذكورة في المحتوى لتمييز هيكلية البروتوكولين.","في OSPF قاعدة بيانات واحدة للمنطقة، وفي IS-IS قاعدتان للموجه الحدودي.","راوتر OSPF داخل المنطقة الواحدة يمتلك قاعدة بيانات رابطة (LSDB) واحدة فقط.","راوتر IS-IS من نوع Level 1-2 يمتلك قاعدتي بيانات منفصلتين (L1 و L2).","","هيكلية قواعد البيانات تختلف جذرياً بين البروتوكولين في نقاط الحدود.",""
"كم عدد البتات (Bits) المستخدمة في المقياس الضيق (Narrow Metric)؟","6 bits","8 bits","24 bits","32 bits","A","المقياس الضيق هو النظام القديم ويستخدم 6 بت فقط.","Narrow Metric يستخدم 6 بت فقط للقيم.","","8 بت تعطي قيماً حتى 255، وهو ليس المعيار للمقياس الضيق.","24 بت تستخدم في المقياس الواسع (Wide Metric).","32 بت تستخدم في عناوين IPv4 أو مقاييس بروتوكولات أخرى.",""
"ما هو نطاق القيم الممكنة في الـ Narrow Metric؟","من 0 إلى 255","من 0 إلى 63","قيم مفتوحة وغير محدودة","من 0 إلى 128","B","بما أنه يستخدم 6 بت، فإن أقصى قيمة هي 63.","القيم تتراوح بين 0 و 63 لأنها محددة بـ 6 بت.","هذا النطاق يتطلب 8 بت.","النطاق محدود جداً بسبب عدد البتات القليل (6 بت).","هذا النطاق يتطلب 7 بت.",""
"لماذا تم إيقاف الاعتماد على Narrow Metric والتوجه نحو Wide Metric؟","لأنه يستهلك ذاكرة كبيرة.","لأنه كان مناسباً للسرعات القديمة وغير دقيق للإنترنت الحديث.","لأنه معقد في الإعدادات.","لأنه لا يدعم IPv4.","B","قيمه الصغيرة (0-63) لا تكفي لتمثيل تفاوت السرعات العالية في الشبكات الحديثة.","Narrow Metric لم يعد كافياً لدقة وسرعات الإنترنت الحديث.","بالعكس، حجمه صغير جداً (6 بت) ولا يستهلك ذاكرة تذكر.","","إعداداته بسيطة، المشكلة تكمن في محدودية القيم وليس التعقيد.","الـ Narrow Metric يدعم IPv4، المشكلة ليست في البروتوكول المحمول بل في دقة المقياس.",""
"كم عدد البتات التي يدعمها المقياس الواسع (Wide Metric)؟","10 bits","16 bits","24 bits","12 bits","C","المقياس الواسع يوفر دقة عالية باستخدام 24 بت (كما ورد في الجدول بالمحاضرة).","Wide Metric يستخدم 24 بت لدعم قيم أكبر وأدق.","قيمة غير صحيحة للمقياس الواسع.","قيمة تستخدم في حقول أخرى، لكن المقياس الواسع يعتمد 24 بت.","","قيمة غير صحيحة للمقياس الواسع.",""
"أي نوع من المعلومات التالية لا يتم نشره عادة ضمن حزم LSPs في IS-IS؟","حالة الوصلة (Link state).","كلمات مرور المستخدمين (User Passwords).","المسارات والبادئات (Prefixes).","معلومات الراوترات المجاورة.","B","LSPs مخصصة لمعلومات التوجيه والشبكة (Topology) وليست لبيانات المستخدمين السرية.","حزم LSPs تنشر معلومات التوجيه والوصلات وليس كلمات المرور.","هذه معلومة أساسية لنشر التوبولوجيا.","","هذه معلومة أساسية لتوجيه حزم IP.","هذه معلومة ضرورية لبناء خريطة الشبكة واكتشاف الجوار.",""
"ما هو الترتيب الصحيح لخطوات تكوين IS-IS على الراوتر؟","تفعيل العملية -> تهيئة الواجهة -> ربط الواجهة.","تهيئة الواجهة وتشغيلها -> تفعيل IS-IS على الواجهة -> تفعيل العملية على الراوتر -> ربط الواجهات بالعملية.","ربط الواجهات -> تفعيل العملية -> إغلاق الواجهة.","تفعيل IS-IS فقط دون الحاجة لتهيئة الواجهة.","B","يجب أولاً التأكد من عمل الواجهة فيزيائياً، ثم تفعيل البروتوكول عليها، ثم إعداد 'العملية' البرمجية وربطها.","الترتيب هو: تهيئة الواجهة، تفعيل IS-IS عليها، تفعيل العملية، ثم الربط.","لا يمكن ربط واجهة ببروتوكول قبل التأكد من جاهزيتها وتشغيلها.","إغلاق الواجهة سيمنع البروتوكول من العمل ولا يعتبر خطوة تكوين للتشغيل.","لا يمكن للبروتوكول أن يعمل أو يرسل تحديثات عبر واجهة غير مهيأة أو معطلة.",""
