ID,text,level
1,"بنية عنوان الـ IP ( الإصدار الرابع IPv4):

الشكل العام: يتكون العنوان من 32 بت (Bits)، مقسمة إلى 4 خانات (Octets).

حجم الخانة: كل خانة تحتوي على 8 بت، وتكتب بالنظام العشري (من 0 إلى 255).

المكونات: ينقسم العنوان منطقياً إلى جزأين:

عنوان الشبكة (Network ID): يحدد اسم أو رقم الشبكة (مثل اسم الشارع).

عنوان الجهاز (Host ID): يحدد الجهاز داخل تلك الشبكة (مثل رقم المنزل).

قناع الشبكة (Subnet Mask): هو الرقم الذي يخبر الكمبيوتر أي جزء من الـ IP هو للشبكة وأي جزء للجهاز (مثال: 255.255.255.0).",1
1,"فئات العناوين (IP Classes): تم تقسيم العناوين لتناسب أحجام الشبكات المختلفة:

الفئة A (للشبكات العملاقة):

تبدأ الخانة الأولى من 1 إلى 126.

تستخدم أول خانة للشبكة والباقي للأجهزة (Network.Host.Host.Host).

القناع الافتراضي: /8 أو 255.0.0.0.",2
1,"الفئة B (للشبكات المتوسطة والكبيرة):

تبدأ الخانة الأولى من 128 إلى 191.

تستخدم أول خانتين للشبكة (Network.Network.Host.Host).

القناع الافتراضي: /16 أو 255.255.0.0.

ملاحظة: الرقم 127 مفقود لأنه محجوز لعنوان Loopback (لفحص كرت الشبكة داخلياً).",3
1,"الفئة C (للشبكات الصغيرة والمنازل):

تبدأ الخانة الأولى من 192 إلى 223.

تستخدم أول 3 خانات للشبكة (Network.Network.Network.Host).

القناع الافتراضي: /24 أو 255.255.255.0.",4
1,"الفئات الخاصة (D & E):

Class D: (224-239) تستخدم للبث المتعدد (Multicast).

Class E: (240-255) مخصصة للأبحاث والتجارب.",5
1,"العناوين المحجوزة وقوانين التوزيع:في أي شبكة، هناك عنوانان لا يمكن منحهما لأي جهاز:عنوان الشبكة (Network Address): أول عنوان في النطاق (تكون خانات الـ Host أصفاراً).عنوان البث (Broadcast Address): آخر عنوان في النطاق (تكون خانات الـ Host كلها 255).معادلة عدد الأجهزة: لحساب عدد الأجهزة المتاحة نستخدم المعادلة: $ 2^n - 2 $ (حيث n هو عدد بتات الـ Host).4. التقسيم الفرعي (Subnetting Example):عندما نستخدم قناع غير قياسي (مثلاً /27 بدلاً من /24)، فإننا ""نستعير"" بتات من جزء الـ Host لنضيفها للشبكة.في المثال المذكور: /27 تعني استعارة 3 بتات إضافية.القناع الجديد يصبح: 255.255.255.224.عدد الأجهزة في كل شبكة فرعية: 30 جهازاً فقط.",6
2,"بروتوكول IGRP (Interior Gateway Routing Protocol):تعريفه: هو بروتوكول قديم طورته شركة Cisco، ويعمل بأسلوب ""موجه المسافة"" (Distance Vector).خصائصه:بروتوكول فئوي (Classful): أي أنه لا يدعم تقسيم الشبكات الفرعية متغير الطول (VLSM).أقصى عدد للقفزات (Hop Count) هو 255.حساب التكلفة (Metric): يعتمد بشكل أساسي على عرض النطاق الترددي (Bandwidth) و التأخير (Delay). المعادلة المبسطة هي: $Metric = Bandwidth + Delay$.",1
2,"بروتوكول EIGRP (Enhanced IGRP):

تعريفه: هو النسخة المطورة من IGRP، ويُصنف كبروتوكول هجين (Advanced Distance Vector) يجمع بين ميزات بروتوكولات حالة الوصلة وموجه المسافة.

أهم مميزاته عن IGRP:

سريع جداً في التقارب (Convergence).

يدعم VLSM (Classless).

يرسل التحديثات بشكل جزئي (Incremental) عند حدوث تغيير فقط، وليس دورياً.

يستخدم خوارزمية DUAL لضمان عدم حدوث حلقات تكرار (Loops) واختيار أفضل مسار.",2
2,"مصطلحات وخوارزمية DUAL في EIGRP:

FD (Feasible Distance): هي المسافة الكلية (التكلفة) للوصول إلى الشبكة الهدف من الموجه الحالي (أقل كلفة).

RD (Reported Distance): هي التكلفة التي يخبرنا بها الجار للوصول للهدف.

Successor (الخلف): هو المسار الأساسي والأفضل الذي يتم وضعه في جدول التوجيه.

Feasible Successor (الخلف العملي): هو المسار الاحتياطي الذي يستخدم فوراً في حال تعطل المسار الأساسي (دون إعادة حسابات).",3
2,"حالات المسار في EIGRP:

Passive (خامل): الحالة الطبيعية والمستقرة (المسار يعمل).

Active (نشط): الموجه يبحث عن مسار جديد (يدل على فقدان المسار الأساسي وعدم وجود احتياطي).

SIA (Stuck In Active): حالة سيئة، تعني أن المسار عالق في حالة البحث ولم يستلم رداً من الجيران لفترة طويلة.",4
2,"جداول ومعادلات EIGRP:

تحويل المقياس: يتم ضرب قيمة IGRP بـ 256 للحصول على قيمة EIGRP (لزيادة الدقة من 24-bit إلى 32-bit).

جدول الجيران (Neighbor Table) يحتوي على:

عنوان الجار.

Hold Time: الزمن المتبقي قبل اعتبار الجار معطلاً.

SRTT: متوسط الزمن المستغرق لإرسال واستقبال الحزم (لقياس سرعة الوصلة).

Queue Count (QCnt): عدد الحزم المنتظرة في الصف (يجب أن يكون 0، زيادته تعني وجود ازدحام أو مشكلة).",5
3,"بروتوكول EIGRP وجدول الطوبولوجي (Topology Table): يُعتبر هذا الجدول ""الخريطة"" التي يمتلكها البروتوكول للشبكة، ويحتوي على مكونات رئيسية لفهم المسارات:

المسافات (Metrics):

FD (Feasible Distance): هي التكلفة الكلية للوصول للهدف (المسافة العملية).

RD (Reported Distance): هي المسافة التي يخبرنا بها الجار (كم يبعد هو عن الهدف).

حالة الطريق (Route Status):

Passive (خامل): تعني أن الطريق مستقر وجاهز للاستخدام (وهي الحالة الجيدة).

Active (نشط): تعني أن الموجه فقد الطريق ويقوم حالياً بالبحث عنه أو حسابه (حالة غير مستقرة).

ترتيب الطرق: يخزن EIGRP أفضل طريق (Successor) أولاً، يليه الطريق الاحتياطي (Feasible Successor)، أما الطرق التي تعتبر ""حلقات"" (Loops) فتوضع في أسفل الجدول.",1
